RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
   62  274     0     0  con    3  4.8D-04  3.7D+00  3.446D-03  4.924D+06
   63  278     0     0  con    3  6.5D-04  6.4D+00  3.443D-03  4.924D+06
   64  282     0     0  con    3  4.3D-04  2.4D+00  3.431D-03  4.924D+06
   65  286     0     0  con    3  4.4D-04  2.0D+00  3.429D-03  4.924D+06
   66  290     0     0  con    3  4.2D-04  2.5D+00  3.417D-03  4.924D+06
   67  300     0     0  con    9  1.6D-03  2.2D+01  3.453D-03  4.924D+06
   68  304     0     0  con    3  5.2D-04  4.4D+00  3.384D-03  4.924D+06
   69  308     0     0  con    3  4.2D-04  2.1D+00  3.384D-03  4.924D+06
   70  312     0     0  con    3  4.9D-04  3.9D+00  3.353D-03  4.924D+06
   71  316     0     0  con    3  4.1D-04  2.3D+00  3.273D-03  4.924D+06
   72  323     0     0  con    6  1.6D-03  2.4D+01  3.146D-03  4.923D+06
   73  327     0     0  con    3  4.3D-04  3.0D+00  3.162D-03  4.923D+06
   74  331     0     0  con    3  5.1D-04  4.4D+00  3.162D-03  4.923D+06
   75  338     0     0  con    6  1.9D-03  3.4D+01  3.108D-03  4.923D+06
   76  345     0     0  con    6  1.3D-03  1.2D+01  3.072D-03  4.923D+06
   77  352     0     0  con    6  1.7D-03  2.7D+01  3.057D-03  4.923D+06
   78  356     0     0  con    3  5.0D-04  4.3D+00  3.016D-03  4.922D+06
   79  363     0     0  con    6  7.0D-04  3.8D+00  4.190D-03  4.922D+06
   80  364     0     0  con    0  1.0D+00  4.7D+02  6.608D-02  4.918D+06
   81  366     0     0  con    1  5.1D-01  6.2D+02  1.209D-01  4.914D+06
   82  370     0     0  con    3  1.6D-02  2.2D+01  1.099D-01  4.914D+06
   83  374     0     0  con    3  5.0D-01  7.6D+02  1.460D-01  4.912D+06
   84  375     0     0  con    0  1.0D+00  1.8D+02  6.244D-02  4.908D+06
   85  376     0     0  con    0  1.0D+00  2.1D+02  5.235D-02  4.906D+06
   86  377     0     0  con    0  1.0D+00  3.1D+02  2.617D-02  4.904D+06
   87  378     0     0  con    0  1.0D+00  3.6D+02  1.613D-02  4.903D+06
   88  379     0     0  con    0  1.0D+00  6.9D+02  3.337D-02  4.903D+06
   89  380     0     0  con    0  1.0D+00  8.7D+01  5.595D-03  4.902D+06
   90  381     0     0  con    0  1.0D+00  9.5D+01  5.132D-03  4.900D+06
   91  385     0     0  con    3  3.0D-03  1.7D+01  5.147D-03  4.900D+06
   92  389     0     0  con    3  8.5D-03  3.1D+01  5.185D-03  4.900D+06
   93  393     0     0  con    3  9.0D-03  2.9D+01  4.957D-03  4.900D+06
   94  397     0     0  con    3  5.0D-01  1.4D+03  1.196D-01  4.893D+06
   95  398     0     0  con    0  1.0D+00  5.7D+02  3.788D-02  4.891D+06
   96  399     0     0  con    0  1.0D+00  3.0D+02  5.740D-03  4.890D+06
   97  400     0     0  con    0  1.0D+00  1.7D+02  2.478D-02  4.889D+06
   98  401     0     0  con    0  1.0D+00  5.5D+02  8.517D-03  4.886D+06
   99  405     0     0  con    3  5.0D-01  3.9D+02  5.250D-02  4.884D+06
  100  406     0     0  con    0  1.0D+00  5.3D+02  3.900D-02  4.881D+06
  101  407     0     0  con    0  1.0D+00  1.2D+03  6.289D-03  4.881D+06
  102  408     0     0  con    0  1.0D+00  5.2D+02  7.714D-02  4.879D+06

STOP: TOTAL NO. of ITERATIONS EXCEEDS LIMIT                 

 Total User time 0.000E+00 seconds.

RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =       132864     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     1.946D-02  5.166D+06
    1    2     1     0  ---    0  1.0D+00  8.6D-01  1.945D-02  5.166D+06
    2    3   537   536  bnd    0  1.0D+00  8.2D+02  1.121D-02  5.117D+06
    3    4   822  1355  bnd    0  1.0D+00  1.3D+03  6.935D-03  5.069D+06
    4    5   881  2002  bnd    0  1.0D+00  2.9D+03  6.112D-03  5.010D+06
    5    6   498  2303  bnd    0  1.0D+00  3.4D+03  7.301D-03  4.970D+06
    6    7   464  2917  bnd    0  1.0D+00  3.2D+03  8.526D-02  4.949D+06
    7    8    44  2944  bnd    0  1.0D+00  1.0D+03  2.689D-02  4.940D+06
    8    9    27  2744  bnd    0  1.0D+00  2.3D+02  5.790D-03  4.938D+06
    9   10    11  2616  bnd    0  1.0D+00  3.6D+02  5.246D-03  4.935D+06
   10   11   174  2674  bnd    0  1.0D+00  2.6D+03  1.886D-02  4.924D+06
   11   12   145  2509  bnd    0  1.0D+00  1.4D+03  1.443D-01  4.918D+06
   12   13    17  2411  bnd    0  1.0D+00  4.1D+02  3.612D-02  4.912D+06
   13   14    17  2340  bnd    0  1.0D+00  2.5D+02  2.301D-02  4.910D+06
   14   15    15  2198  bnd    0  1.0D+00  2.9D+02  8.890D-03  4.909D+06
   15   16    43  2245  bnd    0  1.0D+00  4.5D+02  2.830D-02  4.908D+06
   16   17    21  2188  bnd    0  1.0D+00  6.4D+02  7.214D-03  4.906D+06
   17   18    39  2239  bnd    0  1.0D+00  3.8D+02  1.882D-02  4.904D+06
   18   19    20  2221  bnd    0  1.0D+00  1.6D+03  3.422D-02  4.902D+06
   19   20    60  2235  bnd    0  1.0D+00  2.9D+02  7.170D-03  4.899D+06
   20   21    53  2228  bnd    0  1.0D+00  7.5D+02  1.250D-02  4.895D+06
   21   24   106  2318  bnd    2  5.0D-01  4.3D+02  1.092D-01  4.894D+06
   22   25    15  1981  bnd    0  1.0D+00  3.0D+02  7.047D-02  4.891D+06
   23   26     9  1961  bnd    0  1.0D+00  2.6D+02  4.895D-03  4.890D+06
   24   27    47  2052  bnd    0  1.0D+00  2.2D+02  5.517D-03  4.889D+06
   25   30   185  2247  bnd    2  5.0D-01  9.1D+02  9.285D-02  4.885D+06
   26   31    18  1753  bnd    0  1.0D+00  4.9D+02  1.935D-02  4.883D+06
   27   32    19  1726  bnd    0  1.0D+00  1.8D+02  5.993D-02  4.882D+06
   28   33     6  1684  bnd    0  1.0D+00  6.0D+02  6.296D-03  4.879D+06
   29   34    30  1800  bnd    0  1.0D+00  2.7D+02  1.104D-02  4.879D+06
   30   36    64  1924  bnd    1  3.1D-02  2.5D+01  6.574D-03  4.879D+06
   31   37    13  1851  bnd    0  1.0D+00  3.2D+02  3.123D-02  4.878D+06
   32   38    19  1820  bnd    0  1.0D+00  4.5D+02  3.018D-02  4.878D+06
   33   39    31  2010  bnd    0  1.0D+00  9.7D+01  4.269D-02  4.877D+06
   34   40     5  2009  bnd    0  1.0D+00  1.6D+02  7.004D-03  4.876D+06
   35   41    19  2104  bnd    0  1.0D+00  2.5D+02  6.496D-02  4.875D+06
   36   42    10  2039  bnd    0  1.0D+00  3.0D+02  6.596D-02  4.874D+06
   37   43    15  2031  bnd    0  1.0D+00  2.7D+02  3.620D-02  4.872D+06
   38   44    12  2135  bnd    0  1.0D+00  3.1D+02  6.273D-02  4.870D+06
   39   45     7  2101  bnd    0  1.0D+00  1.8D+02  1.126D-02  4.870D+06
   40   46    12  2118  bnd    0  1.0D+00  9.7D+01  1.235D-02  4.869D+06
   41   47   164  2271  bnd    0  1.0D+00  5.7D+02  6.424D-02  4.868D+06
   42   48    11  2154  bnd    0  1.0D+00  1.2D+02  2.048D-02  4.865D+06
   43   49    12  2106  bnd    0  1.0D+00  9.7D+01  1.975D-02  4.865D+06
   44   52    53  2163  bnd    2  5.0D-01  2.6D+02  5.917D-02  4.864D+06
   45   53    54  1957  bnd    0  1.0D+00  1.8D+02  1.815D-02  4.863D+06
   46   54    24  2041  bnd    0  1.0D+00  1.9D+02  1.791D-02  4.863D+06
   47   60   121  2188  bnd    5  2.6D-01  4.1D+02  7.055D-02  4.861D+06
   48   61    14  1862  bnd    0  1.0D+00  2.6D+02  2.335D-02  4.860D+06
   49   62    44  1795  bnd    0  1.0D+00  2.2D+02  4.645D-03  4.859D+06
   50   63    38  1777  bnd    0  1.0D+00  6.3D+02  1.448D-02  4.858D+06
   51   64   161  1988  bnd    0  1.0D+00  6.1D+02  6.228D-02  4.857D+06
   52   65    13  2079  bnd    0  1.0D+00  2.5D+02  6.439D-03  4.856D+06
   53   66    20  2125  bnd    0  1.0D+00  1.2D+02  5.166D-03  4.855D+06
   54   69    85  2206  bnd    2  5.0D-01  2.6D+02  5.466D-02  4.855D+06
   55   70    25  1886  bnd    0  1.0D+00  1.6D+02  2.464D-02  4.853D+06
   56   71    35  1984  bnd    0  1.0D+00  1.2D+02  2.529D-02  4.852D+06
   57   73    90  2111  bnd    1  3.2D-03  4.4D+00  2.513D-02  4.852D+06
   58   74     2  2016  bnd    0  1.0D+00  9.9D+01  1.239D-02  4.852D+06
   59   77    46  2059  bnd    2  5.0D-01  4.8D+02  8.004D-02  4.851D+06
   60   78    19  1712  bnd    0  1.0D+00  2.0D+02  5.755D-02  4.850D+06
   61   79    29  1749  bnd    0  1.0D+00  1.3D+02  7.435D-03  4.850D+06
   62   80    47  1800  bnd    0  1.0D+00  2.3D+02  4.861D-03  4.849D+06
   63   81    69  1857  bnd    0  1.0D+00  7.3D+02  7.053D-02  4.849D+06
   64   82    20  2089  bnd    0  1.0D+00  1.1D+02  9.490D-03  4.848D+06
   65   83    20  2116  bnd    0  1.0D+00  5.2D+01  8.619D-03  4.847D+06
   66   86    67  2196  bnd    2  5.2D-01  7.3D+02  3.587D-02  4.845D+06
   67   87    51  1865  bnd    0  1.0D+00  3.5D+02  1.071D-02  4.844D+06
   68   88    54  1884  bnd    0  1.0D+00  8.8D+01  4.958D-03  4.844D+06
   69   89    44  1938  bnd    0  1.0D+00  2.8D+02  1.021D-01  4.843D+06
   70   90     9  1899  bnd    0  1.0D+00  1.6D+02  6.279D-02  4.842D+06
   71   91    19  1812  bnd    0  1.0D+00  1.5D+02  3.540D-03  4.842D+06
   72   92    44  1894  bnd    0  1.0D+00  9.7D+01  2.564D-02  4.841D+06
   73   93     3  1899  bnd    0  1.0D+00  4.9D+02  2.921D-02  4.841D+06
   74   94    26  2056  bnd    0  1.0D+00  1.4D+02  1.355D-02  4.840D+06
   75   95    24  2069  bnd    0  1.0D+00  1.3D+02  2.288D-02  4.840D+06
   76   96    17  2064  bnd    0  1.0D+00  3.3D+02  3.273D-02  4.839D+06
   77   97    37  2070  bnd    0  1.0D+00  7.6D+01  5.062D-03  4.839D+06
   78   98    40  2116  bnd    0  1.0D+00  5.7D+01  1.039D-02  4.839D+06
   79   99    18  2145  bnd    0  1.0D+00  5.3D+02  1.298D-02  4.838D+06
   80  100    81  2397  bnd    0  1.0D+00  5.4D+02  1.079D-01  4.837D+06
   81  101     8  2327  bnd    0  1.0D+00  2.1D+02  3.881D-02  4.836D+06
   82  102    10  2218  bnd    0  1.0D+00  1.0D+02  1.240D-02  4.835D+06
   83  103    26  2230  bnd    0  1.0D+00  7.7D+01  1.226D-02  4.835D+06
   84  109    99  2330  bnd    5  2.5D-01  2.6D+02  3.226D-02  4.835D+06
   85  110    30  2034  bnd    0  1.0D+00  2.6D+02  1.244D-01  4.834D+06
   86  111    10  1864  bnd    0  1.0D+00  2.2D+02  2.049D-02  4.834D+06
   87  112    29  1942  bnd    0  1.0D+00  6.4D+01  3.742D-03  4.833D+06
   88  113    50  1988  bnd    0  1.0D+00  1.3D+02  4.731D-02  4.833D+06
   89  114     7  1867  bnd    0  1.0D+00  2.1D+02  4.148D-03  4.832D+06
   90  115    34  1911  bnd    0  1.0D+00  6.6D+01  4.195D-03  4.832D+06
   91  118   156  2054  bnd    2  5.0D-01  4.3D+02  4.589D-03  4.831D+06
   92  124   313  2093  bnd    5  1.1D-03  1.7D+00  4.589D-03  4.831D+06
   93  126   141  1921  bnd    1  3.1D-01  1.8D+02  3.397D-03  4.830D+06
   94  132   293  2012  bnd    5  2.5D-01  8.8D+02  6.785D-02  4.830D+06
   95  134    95  1557  bnd    1  6.8D-03  2.5D+00  3.640D-02  4.830D+06
   96  137     9  1474  bnd    2  5.1D-01  2.1D+02  7.219D-02  4.829D+06
   97  138    28  1387  bnd    0  1.0D+00  2.1D+02  3.786D-02  4.829D+06
   98  139     2  1519  bnd    0  1.0D+00  1.0D+02  4.039D-02  4.828D+06
   99  154     2  1574  bnd   14  3.3D-02  2.2D+01  4.732D-02  4.828D+06
  100  161     4  1503  bnd    6  1.6D-03  2.8D-01  4.734D-02  4.828D+06
  101  167     4  1503  bnd    5  2.1D-03  9.5D-01  4.732D-02  4.828D+06
  102  173     6  1504  bnd    5  1.6D-03  9.2D-01  4.729D-02  4.828D+06

STOP: TOTAL NO. of ITERATIONS EXCEEDS LIMIT                 

 Total User time 0.000E+00 seconds.

